Model,MAE,MSE,R2 Score
Decision Tree,1.3037974683544304,5.658227848101266,0.7240568249304535
Random Forest,1.1050632911392408,3.4867417721518983,0.8299569015097052
Linear Regression,1.4954750100522758,5.03239410886674,0.7545777855043501
